beet,Path,Annotation
0,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\001,بثينة
1,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\002,سليمان
2,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\003,انثى
3,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\004,سنة
4,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\005,ملاحظة
5,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\006,الاستخدام
6,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\007,ع
7,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\008,مزيل
8,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\009,البلغم
9,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\010,ع
10,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\011,مل
11,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\012,ثلاث
12,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\013,مرات
13,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\014,في
14,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\015,ليوم
15,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\016,لمدة
16,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\017,أيام
17,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\018,للحموضة
18,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\019,ع
19,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\020,مرة
20,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\021,واحدة
21,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\022,قبل
22,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\023,الافطار
23,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\024,مزاري
24,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\025,حمد
25,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\026,سنة
26,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\027,واحدة
27,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\028,انثى
28,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\029,ملاحظة
29,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\030,الاستخدام
30,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\031,ع
31,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\032,مل
32,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\033,مرتين
33,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\034,في
34,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\035,اليوم
35,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\036,مصاد
36,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\037,حيوي
37,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\038,مل
38,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\039,ثلاث
39,E:\Code\Girish\TimeDistributed-CRNN\Data\images_final\040,مرات
